CropId,Crop
1,Rice
2,Wheat
3,Cotton
4,Sugarcane
5,Tea
6,Ragi
7,Maize
8,Millet
9,Barley
10,Jawar
11,PigeonPea
12,ChickPea
13,Tomato
14,Brinjal
15,Chilli
16,Onion
17,Garlic
18,Okra
19,Safflower
20,Sunflower
21,Potato
