Crop,Duration
Sugarcane,480
Jawar,120
PigeonPea,150
ChickPea,100
Wheat,120
Bajra,90
Tomato,150
Brinjal,150
Chilli,150
Onion,100
Garlic,90
Okra,60
Safflower,130
Sunflower,90
Potato,100
